Sub District Code,Granularity,Name,Type,villages_Inhabited,villages_Uninhabited,towns,households,Persons,Males,Females,Area,Density
44,SUB-DISTRICT,Srinagar (South),Urban,3,0,2,"2,465","6,403","3,191","3,212",8.05,"1,748"
0,DISTRICT,Ganderbal,Total,0,0,3,"45,361","14,068","7,086","6,982",259,"1,148"
0,DISTRICT,Ganderbal,Rural,113,2,0,"38,395","2,97,446","1,58,720","1,38,726",233.6,"1,072"
0,DISTRICT,Ganderbal,Urban,113,2,3,"6,966","2,50,407","1,33,715","1,16,692",25.4,"1,852"
45,SUB-DISTRICT,Lar,Total,0,0,1,"13,620","47,039","25,005","22,034",82.92,"1,094"
45,SUB-DISTRICT,Lar,Rural,42,0,0,"12,072","90,694","48,857","41,837",73.38,"1,093"
45,SUB-DISTRICT,Lar,Urban,42,0,1,"1,548","80,223","43,281","36,942",9.54,"1,098"
46,SUB-DISTRICT,Kangan,Total,0,0,0,"18,326","10,471","5,576","4,895",90.44,"1,337"
46,SUB-DISTRICT,Kangan,Rural,42,0,0,"18,326","1,20,934","64,723","56,211",90.44,"1,337"
46,SUB-DISTRICT,Kangan,Urban,42,0,0,0,"1,20,934","64,723","56,211",0,0
47,SUB-DISTRICT,Ganderbal,Total,0,0,2,"13,415",0,0,0,85.96,998
47,SUB-DISTRICT,Ganderbal,Rural,29,2,0,"7,997","85,818","45,140","40,678",70.1,703
47,SUB-DISTRICT,Ganderbal,Urban,29,2,2,"5,418","49,250","25,711","23,539",15.86,"2,306"
0,DISTRICT,Pulwama,Total,0,0,5,"86,241","36,568","19,429","17,139",1086,516
0,DISTRICT,Pulwama,Rural,319,10,0,"75,587","5,60,440","2,93,064","2,67,376",1047.45,458
0,DISTRICT,Pulwama,Urban,319,10,5,"10,654","4,79,978","2,48,096","2,31,882",38.55,"2,087"
48,SUB-DISTRICT,Pampore,Total,0,0,2,"12,350","80,462","44,968","35,494",112.41,726
48,SUB-DISTRICT,Pampore,Rural,23,3,0,"7,618","81,564","42,227","39,337",82.46,607
48,SUB-DISTRICT,Pampore,Urban,23,3,2,"4,732","50,033","26,255","23,778",29.95,"1,053"
49,SUB-DISTRICT,Awantipora,Total,0,0,1,"12,091","31,531","15,972","15,559",116.92,740
49,SUB-DISTRICT,Awantipora,Rural,43,3,0,"11,008","86,507","47,151","39,356",111.92,660
49,SUB-DISTRICT,Awantipora,Urban,43,3,1,"1,083","73,860","38,169","35,691",5,"2,529"
50,SUB-DISTRICT,Tral,Total,0,0,1,"18,659","12,647","8,982","3,665",117.87,935
50,SUB-DISTRICT,Tral,Rural,66,0,0,"16,303","1,10,196","57,536","52,660",117.27,788
50,SUB-DISTRICT,Tral,Urban,66,0,1,"2,356","92,352","47,592","44,760",0.6,"29,740"
